source,target,genres
miquel,Jo Jet i Maria Ribot,"['indie catala', 'rock catala']"
miquel,VITTARA,[]
miquel,Lluc,['trap catala']
Ven'nus,MARIA HEIN,['indie catala']
MARIA HEIN,Maria Jaume,"['indie catala', 'rock catala']"
MARIA HEIN,Reïna,['indie catala']
MARIA HEIN,Ariox,"['indie catala', 'musica catalana']"
MARIA HEIN,FADES,[]
MARIA HEIN,Plan-ET,[]
MARIA HEIN,Ven'nus,"['indie catala', 'musica catalana']"
MARIA HEIN,roserona,"['indie catala', 'musica catalana']"
MARIA HEIN,kuu,[]
MARIA HEIN,xicu,"['indie catala', 'musica catalana']"
MARIA HEIN,Da Souza,"['indie catala', 'musica mallorquina', 'rock catala']"
MARIA HEIN,Socunbohemio,['indie catala']
MARIA HEIN,Al·lèrgiques al pol·len,"['indie catala', 'musica catalana']"
MARIA HEIN,Lluc,['trap catala']
MARIA HEIN,VITTARA,[]
MARIA HEIN,bert bert,[]
MARIA HEIN,Júlia Colom,['indie catala']
MARIA HEIN,Julieta,['musica catalana']
MARIA HEIN,Galgo Lento,['indie catala']
MARIA HEIN,Massaviu,"['indie catala', 'musica catalana']"
MARIA HEIN,Iglú,"['indie catala', 'musica catalana']"
Ven'nus,bert bert,[]
bert bert,Azul,['indie catala']
bert bert,Iglú,"['indie catala', 'musica catalana']"
bert bert,Galgo Lento,['indie catala']
bert bert,kuu,[]
bert bert,xicu,"['indie catala', 'musica catalana']"
bert bert,Ven'nus,"['indie catala', 'musica catalana']"
bert bert,Reïna,['indie catala']
bert bert,Lluc,['trap catala']
bert bert,Ariox,"['indie catala', 'musica catalana']"
bert bert,Massaviu,"['indie catala', 'musica catalana']"
bert bert,Caldo,[]
bert bert,Uri,['musica catalana']
bert bert,VITTARA,[]
bert bert,roserona,"['indie catala', 'musica catalana']"
bert bert,miquel,['indie catala']
bert bert,paunezz,['indie catala']
bert bert,Socunbohemio,['indie catala']
bert bert,FADES,[]
bert bert,poggioli,[]
bert bert,Pol Bordas,['trap catala']
Ven'nus,Reïna,['indie catala']
Reïna,Garrafa Nadal,[]
Reïna,Plan-ET,[]
Reïna,Lluís Cabot,"['indie catala', 'musica mallorquina']"
Reïna,Maria Jaume,"['indie catala', 'rock catala']"
Reïna,Roig!,['musica mallorquina']
Reïna,Da Souza,"['indie catala', 'musica mallorquina', 'rock catala']"
Reïna,Miquel Serra,"['indie catala', 'musica mallorquina']"
Reïna,MARIA HEIN,['indie catala']
Reïna,Jorra i Gomorra,"['indie catala', 'musica mallorquina']"
Reïna,Miquel de la Mel,[]
Reïna,Ariox,"['indie catala', 'musica catalana']"
Reïna,Salvatge Cor,"['indie catala', 'musica mallorquina']"
Reïna,bert bert,[]
Reïna,Iglú,"['indie catala', 'musica catalana']"
Reïna,Nita,[]
Reïna,Roger Pistola,['musica mallorquina']
Reïna,Mar Grimalt,[]
Reïna,roserona,"['indie catala', 'musica catalana']"
Reïna,Ven'nus,"['indie catala', 'musica catalana']"
Reïna,Saïm,['musica mallorquina']
Ven'nus,Caldo,[]
Caldo,Cooba,[]
Caldo,ari llobet,[]
Caldo,Uri,['musica catalana']
Caldo,Noxtorn,['trap catala']
